;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Bahrain; Spirits;Jan 70;Jan 57;Mrz 63;03. Nov;Mrz 22;Mrz 33;Mrz 44;Mrz 57;Mrz 69;Mrz 99;Mrz 56;Mrz 57;03. Aug;Mrz 64;Mrz 70;Mrz 75;Apr 74;Mrz 72;Feb 89;Feb 67
Bahrain; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bangladesh; All types;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bangladesh; Beer;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bangladesh; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00
Bangladesh; Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Bangladesh; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Barbados; All types;Jun 64;Mai 49;Mai 88;Mai 85;Mai 76;Jul 39;Jul 51;07. Sep;Jul 54;Jul 36;;;;;;;;;;
Barbados; Beer;02. Feb;Jan 96;Jan 94;Jan 83;Jan 83;Feb 76;Feb 63;Feb 23;Feb 92;03. Jun;;;;;;;;;;
Barbados; Wine;0.53;0.25;0.46;0.40;0.41;0.43;0.33;0.34;0.38;0.36;;;;;;;;;;
Barbados; Spirits;04. Mrz;Mrz 25;Mrz 43;Mrz 56;Mrz 43;Apr 14;Apr 49;Apr 47;Apr 23;Mrz 93;;;;;;;;;;
Barbados; Other alcoholic beverages;0.06;0.03;0.05;0.06;0.09;0.06;0.06;0.05;0.01;0.01;;;;;;;;;;
Belarus; All types;Dez 72;Nov 72;11. Feb;Okt 45;Sep 35;Sep 86;Okt 23;Aug 70;Aug 87;Jul 85;Jul 98;Apr 55;Mai 71;Jul 57;Nov 41;Dez 70;Dez 43;Dez 67;13.20;13.23
Belarus; Beer;Jan 22;Jan 19;Jan 14;0.98;0.79;0.88;Jan 24;Jan 58;Jan 92;Jan 87;Jan 83;Jan 65;No data;No data;No data;No data;No data;No data;No data;No data
Belarus; Wine;0.83;0.72;0.37;0.28;0.41;0.66;0.48;0.24;Jan 25;Jan 28;Jan 34;0.00;No data;No data;No data;No data;No data;No data;No data;No data
Belarus; Spirits;Jul 85;Jul 57;Jul 97;Aug 16;Jul 43;Jul 55;Jul 87;Jun 54;Mai 69;Apr 70;Apr 81;Feb 90;No data;No data;No data;No data;No data;No data;No data;No data
Belarus; Other alcoholic beverages;Feb 83;Feb 25;Jan 54;01. Mrz;0.71;0.77;0.64;0.35;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data
Belgium; All types;10. Okt;Sep 92;Okt 92;Okt 94;11. Apr;11. Dez;Nov 66;Nov 65;Nov 44;Dez 18;Nov 61;Dez 52;13.16;Dez 72;13.14;13.26;13.55;13.72;13.25;13.99
Belgium; Beer;06. Jun;Mai 96;06. Nov;Jun 20;Jun 34;Jun 47;Jun 68;Jun 85;Jun 80;Jul 37;07. Jan;Jul 25;Jul 42;Jul 36;Jul 45;Jul 79;Jul 92;Aug 23;Jul 73;Aug 20
Belgium; Wine;Feb 67;Feb 59;Mrz 34;Mrz 35;Mrz 35;Mrz 22;Mrz 44;Mrz 33;Mrz 21;Mrz 34;03. Sep;Mrz 41;03. Okt;Feb 93;03. Aug;03. Nov;Feb 95;Feb 96;Feb 87;Feb 83
Belgium; Spirits;Jan 37;Jan 37;Jan 47;Jan 39;Jan 35;Jan 43;Jan 54;Jan 47;Jan 43;Jan 47;Jan 51;Jan 86;Feb 64;Feb 43;Feb 61;Feb 36;Feb 68;Feb 53;Feb 65;Feb 96
Belgium; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Belize; All types;Mai 21;Mai 23;Mai 16;Mai 23;Mai 94;Mai 55;Jun 35;Mai 69;Apr 91;Mai 21;No data;Apr 35;Apr 65;Mai 73;Jun 17;Jun 20;07. Mai;Jul 75;Jul 99;Jul 26
Belize; Beer;Feb 19;Feb 20;Feb 16;02. Dez;Feb 71;Feb 72;Mrz 59;02. Feb;Jan 71;Jan 68;No data;Jan 54;Jan 41;Jan 35;Jan 50;Jan 65;Feb 24;Feb 22;Feb 60;02. Mai
Belize; Wine;0.06;0.07;0.07;0.10;0.08;0.11;0.12;0.11;0.08;0.12;No data;0.18;0.18;0.21;0.17;0.15;0.14;0.16;0.16;0.14
Belize; Spirits;Feb 93;Feb 94;Feb 91;Feb 98;03. Okt;Feb 63;Feb 56;Mrz 48;03. Aug;Mrz 37;No data;Feb 61;03. Apr;Apr 16;Apr 49;Apr 38;Apr 65;Mai 34;Mai 20;05. Jun
Belize; Other alcoholic beverages;0.02;0.02;0.02;0.03;0.06;0.08;0.09;0.08;0.03;0.04;No data;0.02;0.02;0.01;0.01;0.02;0.02;0.03;0.03;0.01
Benin; All types;Jan 16;Jan 26;Jan 18;Jan 27;0.82;0.69;0.96;0.83;0.77;0.94;Jan 38;Jan 35;Jan 53;Jan 25;Jan 23;Jan 42;Jan 64;Feb 49;Feb 34;Jan 86
