;;Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol);Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)
Haiti; All types;Mai 73;Mai 87;6.00;Jun 15;Mai 42;Apr 60;Apr 72;Apr 80;Mai 53;06. Dez;Mai 80;Mai 66;05. Nov;Mai 74;Jun 41;Apr 45;Mai 26;Jun 72;Jun 45;Jun 45
Haiti; Beer;0.04;0.02;0.02;0.01;0.02;0.01;0.01;0.01;0.02;0.03;0.03;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Haiti; Wine;0.01;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.01;0.03;0.02;0.01;0.02;0.01;0.01
Haiti; Spirits;Mai 68;Mai 83;Mai 97;Jun 13;Mai 39;Apr 59;Apr 71;Apr 79;Mai 51;06. Jul;Mai 77;Mai 63;05. Sep;Mai 72;Jun 37;Apr 43;Mai 25;Jun 70;Jun 43;Jun 44
Haiti; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Honduras; All types;Feb 60;Feb 57;Feb 70;Feb 43;Feb 55;Feb 27;Feb 59;Feb 42;Feb 48;Feb 47;Feb 15;Feb 25;02. Jan;02. Apr;Jan 90;Feb 18;Feb 19;Feb 30;Feb 58;Feb 67
Honduras; Beer;Jan 39;Jan 44;Jan 54;Jan 28;Jan 30;Jan 23;Jan 38;Jan 27;Jan 22;Jan 35;Jan 17;Jan 13;01. Feb;1.00;0.94;01. Mai;1.00;0.88;0.96;01. Mai
Honduras; Wine;0.03;0.02;0.03;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0.03;0.02;0.02;0.01;0.02;0.01;0.01;0.03;0.03
Honduras; Spirits;Jan 18;01. Nov;Jan 13;Jan 13;Jan 23;01. Feb;Jan 20;Jan 14;Jan 25;01. Nov;0.96;01. Sep;0.97;01. Mrz;0.94;01. Nov;Jan 18;Jan 41;Jan 59;Jan 60
Honduras; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Hungary; All types;12. Sep;Dez 69;Dez 51;Dez 55;Dez 56;13.71;14.16;14.82;15.43;16.15;16.29;15.34;15.70;16.67;16.74;16.82;16.39;16.82;16.73;16.88
Hungary; Beer;04. Okt;Apr 13;Apr 16;Apr 29;Apr 56;Mai 15;05. Aug;Mai 81;Jun 26;Jun 59;Jun 55;Jun 50;Jun 42;Jun 37;Mai 92;Mai 59;Mai 69;Mai 76;Mai 73;Mai 51
Hungary; Wine;Apr 37;Apr 81;Apr 59;Apr 37;Mrz 85;Apr 27;Apr 63;Apr 42;Apr 31;Apr 17;Mrz 44;Mrz 15;Mrz 32;Mrz 57;Mrz 81;Apr 72;Apr 56;Apr 91;Apr 59;Mai 35
Hungary; Spirits;Mrz 62;Mrz 75;Mrz 76;Mrz 89;Apr 15;Apr 29;Apr 44;Apr 59;Apr 86;Mai 39;Jun 30;Mai 69;Mai 96;Jun 73;07. Jan;Jun 51;Jun 14;Jun 15;Jun 41;06. Feb
Hungary; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Iceland; All types;Mai 89;Mai 47;05. Okt;Apr 83;Apr 71;Apr 57;Apr 35;Apr 64;05. Mrz;05. Okt;Mai 35;Mai 47;Mai 64;Mai 47;Mai 34;Mai 37;05. Nov;Apr 92;05. Mai;Apr 97
Iceland; Beer;Feb 87;Feb 62;Feb 39;Feb 19;02. Feb;Jan 81;Jan 47;Jan 43;Jan 56;Jan 69;Jan 83;01. Jul;01. Aug;01. Jul;Jan 16;Jan 17;01. Nov;01. Feb;01. Jun;0.99
Iceland; Wine;Jan 16;01. Apr;0.93;0.83;0.74;0.72;0.69;0.72;0.72;0.67;0.67;0.90;01. Jan;01. Mrz;01. Sep;Jan 19;Jan 14;01. Feb;0.94;0.90
Iceland; Spirits;Jan 76;Jan 74;Jan 72;Jan 79;Jan 93;02. Feb;Feb 19;Feb 49;Feb 75;Feb 74;Feb 85;Mrz 50;Mrz 55;Mrz 37;03. Sep;03. Jan;Feb 86;Feb 88;03. Mai;03. Aug
Iceland; Other alcoholic beverages;0.10;0.07;0.06;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01
India; All types;Feb 18;Jan 81;Jan 92;Feb 39;Jan 83;Jan 71;Jan 76;Jan 59;Jan 84;Jan 71;Jan 66;Jan 55;Jan 49;Jan 32;Jan 26;Jan 15;Jan 17;Jan 17;01. Okt;01. Jun
India; Beer;0.03;0.03;0.03;0.03;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.01
India; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
India; Spirits;Feb 15;Jan 78;Jan 89;Feb 36;Jan 81;Jan 69;Jan 74;Jan 57;Jan 82;Jan 69;Jan 64;Jan 54;Jan 48;Jan 30;Jan 24;Jan 14;Jan 15;Jan 15;01. Aug;01. Mai
India; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Indonesia; All types;0.09;0.09;0.10;0.11;0.11;0.06;0.08;0.06;0.06;0.07;0.06;0.07;0.07;0.07;0.06;0.06;0.08;0.10;0.09;0.08
Indonesia; Beer;0.04;0.05;0.05;0.06;0.06;0.03;0.05;0.03;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.02;0.05;0.04;0.04;0.03
Indonesia; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Indonesia; Spirits;0.05;0.04;0.04;0.04;0.05;0.03;0.03;0.03;0.02;0.03;0.03;0.04;0.03;0.04;0.04;0.04;0.04;0.05;0.05;0.05
Indonesia; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Iran (Islamic Republic of); All types;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Iran (Islamic Republic of); Beer;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Iran (Islamic Republic of); Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Iran (Islamic Republic of); Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Iran (Islamic Republic of); Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Iraq; All types;0.21;0.22;0.23;0.26;0.34;0.33;0.39;0.27;0.24;0.48;0.75;0.67;0.66;0.76;0.66;0.90;0.68;0.80;0.69;0.73
Iraq; Beer;0.18;0.19;0.19;0.20;0.28;0.28;0.28;0.20;0.16;0.36;0.32;0.31;0.31;0.29;0.28;0.29;0.26;0.33;0.27;0.21
Iraq; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Iraq; Spirits;0.03;0.04;0.04;0.06;0.05;0.05;0.10;0.07;0.08;0.12;0.42;0.36;0.34;0.45;0.36;0.60;0.41;0.47;0.41;0.51
Iraq; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Ireland; All types;14.17;13.73;13.50;Dez 97;Dez 25;12. Mai;Nov 68;Nov 88;Nov 53;Nov 45;Nov 79;Nov 39;Okt 99;Nov 23;Nov 62;11. Jul;Okt 87;Nov 90;Dez 51;13.19
Ireland; Beer;Sep 94;Sep 93;Sep 96;Sep 53;Sep 16;09. Feb;Aug 52;Aug 90;Aug 47;Aug 41;08. Jul;Jul 67;Jul 49;Jul 56;Jul 72;Jul 74;Jul 73;Aug 27;Aug 38;Aug 78
Ireland; Wine;Jan 54;Jan 35;Jan 20;01. Aug;0.97;0.90;0.86;0.80;0.74;0.71;0.68;0.65;0.59;0.58;0.60;0.57;0.55;0.59;0.62;0.62
Ireland; Spirits;Feb 69;Feb 45;Feb 34;Feb 36;02. Dez;Feb 14;Feb 30;Feb 18;Feb 33;Feb 33;Feb 36;Feb 38;Feb 25;Feb 41;Feb 56;Feb 14;2.00;Feb 37;Feb 72;Feb 94
Ireland; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;0.68;0.69;0.65;0.69;0.75;0.62;0.58;0.67;0.79;0.85
Israel; All types;2.00;02. Sep;02. Mrz;Jan 62;Jan 50;Jan 72;Feb 18;Jan 81;Jan 73;Jan 84;02. Mrz;Feb 18;Feb 26;Feb 26;Feb 69;Feb 65;Feb 80;Feb 65;Feb 80;Feb 92
Israel; Beer;0.89;0.91;0.93;0.89;0.91;0.86;0.99;0.85;0.85;0.94;0.87;0.95;0.96;0.93;01. Nov;0.98;01. Feb;01. Mrz;01. Jun;1.00
Israel; Wine;0.23;0.25;0.25;0.21;0.36;0.35;0.43;0.41;0.41;0.43;0.47;0.50;0.56;0.61;0.63;0.60;0.65;0.58;0.59;0.66
Israel; Spirits;0.84;0.90;0.81;0.49;0.19;0.48;0.71;0.51;0.04;0.43;0.69;0.73;0.74;0.72;0.79;0.90;0.96;0.87;0.97;01. Aug
Israel; Other alcoholic beverages;0.04;0.03;0.04;0.03;0.04;0.02;0.05;0.04;0.04;0.04;0.00;0.00;0.00;0.00;0.16;0.17;0.17;0.17;0.18;0.18
Italy; All types;Aug 86;Aug 98;09. Dez;Sep 13;Sep 62;10. Dez;Okt 27;Okt 55;Okt 82;Okt 99;Okt 95;Nov 41;Nov 76;Dez 37;13.22;14. Aug;14.55;14.50;15. Jul;16.73
Italy; Beer;Jan 58;Jan 57;Jan 49;Jan 41;Jan 49;Jan 54;Jan 48;Jan 53;Jan 48;Jan 50;Jan 31;Jan 42;Jan 43;Jan 43;Jan 37;Jan 19;Jan 32;Jan 31;Jan 15;01. Jul
Italy; Wine;Jun 60;Jun 67;Jun 88;Jun 98;Jul 19;Jul 57;Jul 64;Jul 87;08. Dez;Aug 22;Aug 27;Aug 50;Aug 89;Sep 39;Okt 29;Nov 20;Nov 49;Nov 48;Dez 13;13.15
Italy; Spirits;0.58;0.70;0.70;0.70;0.94;01. Jun;01. Jun;Jan 18;Jan 19;Jan 19;Jan 32;Jan 46;Jan 47;Jan 48;Jan 62;Jan 63;Jan 64;Jan 78;Jan 79;Feb 44
Italy; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Jamaica; All types;Feb 72;Feb 74;Feb 86;Feb 92;Feb 87;Feb 98;Mrz 43;Apr 47;Apr 83;Mrz 54;03. Jun;03. Dez;03. Dez;Feb 78;Feb 68;Mrz 21;Apr 20;Mrz 99;Mrz 99;Apr 57
Jamaica; Beer;Jan 58;Jan 69;Jan 71;Jan 83;Jan 81;Jan 96;Feb 26;Feb 36;Feb 25;Feb 42;Feb 30;02. Feb;Jan 92;Jan 67;Jan 66;Jan 52;Jan 86;Jan 85;Jan 85;Feb 20
Jamaica; Wine;0.07;0.06;0.07;0.07;0.07;0.06;0.03;0.03;0.04;0.02;0.06;0.03;0.02;0.01;0.02;0.00;0.00;0.00;0.00;0.00
Jamaica; Spirits;01. Jul;0.98;01. Aug;01. Feb;0.99;0.95;Jan 14;02. Aug;Feb 55;0.94;0.67;01. Apr;Jan 17;01. Sep;1.00;Jan 69;Feb 34;Feb 14;Feb 14;Feb 37
Jamaica; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Japan; All types;Aug 17;08. Okt;Aug 15;08. Jun;Aug 16;Aug 30;Aug 36;08. Sep;08. Apr;Aug 28;Jul 74;Aug 17;Jul 69;Jul 21;Jun 98;07. Nov;07. Dez;Jun 88;Jun 77;Jun 63
Japan; Beer;Feb 70;Feb 87;Mrz 13;Mrz 24;Mrz 23;Mrz 55;Mrz 31;Mrz 30;Mrz 28;3.00;Feb 91;Feb 84;Feb 64;Feb 47;Feb 33;Feb 33;Feb 46;Feb 43;Feb 37;Feb 30
Japan; Wine;0.30;0.40;0.31;0.21;0.18;0.17;0.15;0.14;0.14;0.16;0.17;0.13;0.11;0.09;0.09;0.09;0.09;0.09;0.08;0.08
Japan; Spirits;Feb 99;Feb 78;Feb 88;Feb 87;Feb 80;Feb 77;Feb 87;Feb 69;Feb 60;03. Jan;Feb 63;03. Mai;Feb 81;Feb 93;Feb 94;03. Mrz;Feb 67;Feb 42;Feb 26;Feb 25
Japan; Other alcoholic beverages;Feb 18;02. Mai;Jan 83;Jan 74;Jan 95;Jan 80;02. Apr;Jan 96;02. Jan;02. Nov;02. Mrz;Feb 15;Feb 14;Jan 71;Jan 62;Jan 65;Jan 89;Jan 94;02. Jun;2.00
Jordan; All types;0.15;0.15;0.17;0.16;0.15;0.15;0.15;0.11;0.14;0.20;0.18;0.28;0.30;0.30;0.24;0.37;0.54;0.39;0.33;0.44
Jordan; Beer;0.14;0.14;0.14;0.15;0.14;0.14;0.15;0.10;0.13;0.18;0.13;0.13;0.14;0.13;0.15;0.17;0.22;0.24;0.23;0.24
Jordan; Wine;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.02;0.01;0.02;0.03;0.03;0.03;0.02
Jordan; Spirits;0.00;0.00;0.01;0.00;0.01;0.01;0.00;0.00;0.01;0.02;0.06;0.12;0.15;0.14;0.08;0.18;0.29;0.12;0.07;0.18
Jordan; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Kazakhstan; All types;Mrz 52;Mrz 89;Mrz 40;03. Aug;Apr 91;Aug 78;Okt 43;Okt 96;Dez 77;Nov 90;;;;;;;;;;
Kazakhstan; Beer;0.40;0.42;0.43;0.34;0.46;0.66;0.78;01. Apr;Jan 38;Jan 32;;;;;;;;;;
Kazakhstan; Wine;0.29;0.36;0.27;0.18;0.16;0.37;0.31;0.48;0.83;0.70;;;;;;;;;;
Kazakhstan; Spirits;Feb 84;03. Nov;Feb 70;Feb 55;Apr 29;Jul 74;Sep 35;Sep 44;Okt 56;Sep 89;;;;;;;;;;
Kazakhstan; Other alcoholic beverages;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.00;0.00;;;;;;;;;;
Kenya; All types;Jan 64;Jan 72;Jan 91;Jan 82;Feb 13;Jan 90;02. Apr;Feb 57;Feb 55;Feb 92;Feb 83;Feb 90;Feb 78;Feb 76;Feb 80;Feb 47;Feb 40;Feb 62;Mrz 26;Mrz 90
Kenya; Beer;0.56;0.75;0.78;0.81;1.00;0.92;01. Okt;Jan 32;Jan 22;Jan 38;Jan 40;Jan 45;Jan 37;Jan 33;Jan 34;01. Aug;0.94;01. Nov;Jan 41;Jan 91
Kenya; Wine;0.02;0.02;0.01;0.01;0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.02;0.01;0.02;0.02
Kenya; Spirits;0.62;0.61;0.71;0.70;0.70;0.60;0.69;0.74;0.86;0.93;0.82;0.81;0.82;0.85;0.87;0.90;01. Apr;01. Feb;Jan 23;Jan 21
Kenya; Other alcoholic beverages;0.45;0.34;0.40;0.30;0.41;0.38;0.25;0.51;0.47;0.60;0.60;0.62;0.59;0.57;0.57;0.47;0.40;0.47;0.60;0.75
Kiribati; All types;0.73;0.77;0.62;0.69;0.71;0.54;0.58;0.58;0.63;0.44;0.48;0.50;0.63;0.58;0.52;0.57;0.67;0.81;0.95;Jan 17
Kiribati; Beer;0.56;0.59;0.53;0.63;0.63;0.48;0.50;0.50;0.50;0.32;0.41;0.39;0.49;0.46;0.39;0.41;0.50;0.63;0.70;0.97
Kiribati; Wine;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.02;0.03;0.02;0.04;0.04;0.04;0.03;0.05;0.03
Kiribati; Spirits;0.15;0.15;0.08;0.05;0.07;0.05;0.07;0.07;0.10;0.10;0.06;0.09;0.11;0.10;0.08;0.12;0.13;0.14;0.20;0.16
Kiribati; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kuwait; All types;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kuwait; Beer;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kuwait; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kuwait; Spirits;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Kuwait; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Kyrgyzstan; All types;Jan 69;Mrz 31;Feb 64;Feb 53;Jan 66;Feb 98;2.00;Apr 25;Apr 66;Apr 53;Apr 29;Mrz 51;03. Jan;Mrz 42;07. Aug;;;;;
Kyrgyzstan; Beer;0.23;0.32;0.29;0.30;0.26;0.24;0.36;0.56;0.53;0.60;0.62;0.73;0.71;0.65;0.87;;;;;
Kyrgyzstan; Wine;0.13;0.25;0.26;0.28;0.13;0.30;0.24;0.39;0.67;0.61;0.72;0.67;0.71;0.76;Jan 82;;;;;
Kyrgyzstan; Spirits;Jan 31;Feb 71;02. Jun;Jan 93;Jan 23;Feb 40;Jan 27;Mrz 26;Mrz 46;Mrz 33;Feb 94;02. Nov;Jan 59;2.00;Apr 38;;;;;
Kyrgyzstan; Other alcoholic beverages;0.02;0.03;0.03;0.02;0.04;0.05;0.13;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;
Lao People's Democratic Republic; All types;Mai 32;Mai 20;Mai 17;05. Aug;Apr 98;5.00;Apr 81;Apr 77;Apr 79;Apr 84;Jul 51;Apr 71;Apr 60;Apr 93;Apr 81;Apr 67;Apr 65;Apr 62;Apr 56;Apr 20
Lao People's Democratic Republic; Beer;0.74;0.76;0.67;0.47;0.37;0.28;0.26;0.21;0.21;0.12;Jan 33;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Lao People's Democratic Republic; Wine;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;Jan 13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Lao People's Democratic Republic; Spirits;Apr 56;Apr 43;Apr 49;Apr 61;Apr 60;Apr 71;Apr 55;Apr 56;Apr 58;Apr 72;Mrz 49;Apr 71;Apr 58;Apr 93;Apr 81;Apr 67;Apr 65;Apr 62;Apr 56;Apr 20
Lao People's Democratic Republic; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Latvia; All types;Aug 84;Aug 94;Aug 36;Aug 37;09. Aug;Sep 59;Jul 95;Jun 88;Jun 74;Jun 72;Jul 51;Jun 27;Mai 75;Jul 79;Okt 85;Dez 35;Dez 33;Dez 43;Dez 79;13. Mrz
Latvia; Beer;02. Nov;Jan 61;Jan 62;Jan 65;Jan 74;Jan 27;Jan 22;Jan 25;Jan 15;01. Jan;Jan 44;Jan 69;Jan 46;Jan 36;Jan 68;02. Jan;Feb 47;Feb 43;Feb 40;Feb 35
Latvia; Wine;Jan 25;Jan 13;0.84;01. Jun;01. Jan;Jan 64;Jan 59;Jan 25;Jan 27;Jan 39;Jan 44;Jan 14;01. Mai;Jan 19;Feb 34;Feb 59;Feb 60;Feb 96;Mrz 16;Mrz 35
Latvia; Spirits;Mai 48;Jun 21;Mai 90;Mai 66;Jun 33;Jun 68;Mai 14;Apr 38;Apr 32;Apr 31;Apr 16;Mrz 50;Mrz 26;Mai 15;Jun 55;Jul 50;07. Okt;Jun 75;Jun 87;Jun 92
Latvia; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.28;0.25;0.16;0.30;0.35;0.41
Lebanon; All types;Jan 50;Jan 59;02. Aug;Jan 42;Feb 38;Feb 45;Feb 38;02. Jul;Feb 59;Jan 63;Mrz 94;04. Apr;Mrz 81;04. Dez;Mrz 74;Mrz 47;Mrz 29;Mrz 37;Mrz 31;03. Nov
Lebanon; Beer;0.32;0.31;0.33;0.35;0.37;0.41;0.34;0.25;0.42;0.24;0.42;0.41;0.42;0.42;0.43;0.44;0.44;0.47;0.48;0.47
Lebanon; Wine;0.76;0.77;01. Apr;0.70;Jan 37;Jan 37;Jan 28;Jan 20;01. Aug;0.82;0.89;0.88;0.78;0.70;0.63;0.55;0.47;0.49;0.50;0.39
Lebanon; Spirits;0.41;0.49;0.69;0.35;0.62;0.65;0.73;0.61;01. Jun;0.53;Feb 63;Feb 73;Feb 61;3.00;Feb 67;Feb 47;Feb 37;Feb 39;Feb 31;Feb 25
Lebanon; Other alcoholic beverages;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.04;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Lesotho; All types;02. Sep;Jan 92;02. Mrz;Feb 14;Feb 25;Feb 47;Feb 42;02. Jan;02. Mrz;Feb 49;02. Feb;Feb 19;02. Okt;Feb 35;Feb 55;Mrz 30;Mrz 56;Feb 25;Mrz 33;Mrz 41
Lesotho; Beer;0.84;0.86;0.89;0.91;0.94;0.96;0.97;01. Jan;01. Jan;01. Mai;0.63;0.79;0.75;0.86;01. Jul;Jan 22;Jan 43;0.90;Jan 39;Jan 43
Lesotho; Wine;0.04;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.06;0.06;0.05;0.04;0.05;0.13;0.05;0.05;0.07;0.07
Lesotho; Spirits;0.37;0.38;0.40;0.41;0.42;0.43;0.43;0.44;0.45;0.45;0.36;0.37;0.38;0.39;0.10;0.44;0.33;0.17;0.17;0.18
Lesotho; Other alcoholic beverages;0.83;0.63;0.69;0.77;0.85;01. Apr;0.96;0.50;0.52;0.93;0.97;0.97;0.92;01. Mai;Jan 31;Jan 49;Jan 75;Jan 13;Jan 70;Jan 74
Liberia; All types;Mrz 85;Apr 15;Apr 54;Apr 64;Mai 16;Mai 17;Apr 97;Apr 96;Apr 66;Apr 56;Mai 62;Mai 52;Apr 88;Apr 43;Mrz 99;Mrz 62;Mrz 28;Mrz 42;Mrz 72;Mrz 99
Liberia; Beer;0.21;0.24;0.32;0.20;0.41;0.32;0.19;0.41;0.18;0.21;0.42;0.51;0.46;0.59;0.60;0.64;0.46;0.50;0.64;0.72
Liberia; Wine;0.01;0.01;0.03;0.00;0.02;0.00;0.01;0.00;0.01;0.01;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03
Liberia; Spirits;Mrz 63;Mrz 90;Apr 18;Apr 44;Apr 74;Apr 84;Apr 77;Apr 55;Apr 47;Apr 33;Mai 16;Apr 99;Apr 39;Mrz 82;Mrz 37;Feb 96;Feb 80;Feb 90;03. Apr;Mrz 24
Liberia; Other alcoholic beverages;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
Libya; All types;0.02;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Libya; Beer;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Libya; Wine;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Libya; Spirits;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Libya; Other alcoholic beverages;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Lithuania; Beer;;;;;;;;;;;No data;No data;No data;No data;No data;No data;;;;
Lithuania; Wine;;;;;;;;;;;No data;No data;No data;No data;No data;No data;;;;
Lithuania; Spirits;;;;;;;;;;;No data;No data;No data;No data;No data;No data;;;;
Lithuania; Other alcoholic beverages;;;;;;;;;;;No data;No data;No data;No data;No data;No data;;;;
Lithuania; All types;Jun 75;Jun 35;Jul 34;Jul 13;06. Sep;Mrz 62;Mrz 88;Mrz 97;08. Mrz;07. Mai;Aug 14;07. Nov;Jun 22;08. Apr;Nov 56;13. Jan;;;;
Lithuania; Beer;Mrz 42;Feb 91;Feb 50;02. Okt;02. Aug;Feb 21;Feb 17;02. Dez;Feb 46;Feb 62;;;;;;;;;;
Lithuania; Wine;01. Dez;0.95;0.89;Jan 26;0.55;0.25;0.39;0.25;0.63;0.31;;;;;;;;;;
